"name","file","start_line","end_line"
"Slice","superset/migrations/versions/2020-04-29_09-24_620241d1153f_update_time_grain_sqla.py",62,62
"Slice","superset/migrations/versions/2018-06-04_11-12_c5756bec8b47_time_grain_sqla.py",39,39
"Slice","superset/migrations/versions/2017-01-24_12-31_db0c65b146bd_update_slice_model_json.py",39,39
"Slice","superset/migrations/versions/2019-06-28_13-17_ab8c66efdd01_resample.py",41,41
"Slice","superset/migrations/versions/2018-06-13_14-54_bddc498dd179_adhoc_filters.py",44,44
"Slice","superset/migrations/versions/2021-10-12_11-15_32646df09c64_update_time_grain_sqla.py",39,39
"Slice","superset/migrations/versions/2018-04-10_11-19_bf706ae5eb46_cal_heatmap_metric_to_metrics.py",39,39
"Slice","superset/migrations/versions/2021-02-14_11-46_1412ec1e5a7b_legacy_force_directed_to_echart.py",40,40
"Slice","superset/migrations/versions/2021-01-23_16-25_260bf0649a77_migrate_x_dateunit_in_time_range.py",46,46
"Column","tests/unit_tests/datasource/utils/test_replace_verbose_with_column.py",23,23
"ForeignKey","superset/migrations/shared/constraints.py",28,28
"Date","superset/models/sql_types/presto_sql_types.py",117,117
"DruidMetric","superset/migrations/versions/2019-09-19_13-40_258b5280a45e_form_strip_leading_and_trailing_whitespace.py",116,116
"DruidMetric","superset/migrations/versions/2019-03-21_10-22_d94d33dbe938_form_strip.py",118,118
"DruidMetric","superset/migrations/versions/2018-07-19_23-41_c617da68de7d_form_nullable.py",118,118
"DruidMetric","superset/migrations/versions/2018-07-20_15-57_e9df189e5c7e_update_base_metrics.py",48,48
"DruidMetric","superset/migrations/versions/2016-06-07_12-33_d8bc074f7aad_add_new_field_is_restricted_to_.py",39,39
"SqlMetric","superset/connectors/sqla/models.py",1091,1091
"SqlMetric","superset/migrations/versions/2019-09-19_13-40_258b5280a45e_form_strip_leading_and_trailing_whitespace.py",144,144
"SqlMetric","superset/migrations/versions/2025-06-06_00-39_363a9b1e8992_convert_metric_currencies_from_str_to_json.py",44,44
"SqlMetric","superset/migrations/versions/2019-03-21_10-22_d94d33dbe938_form_strip.py",146,146
"SqlMetric","superset/migrations/versions/2018-07-19_23-41_c617da68de7d_form_nullable.py",146,146
"SqlMetric","superset/migrations/versions/2018-07-20_15-57_e9df189e5c7e_update_base_metrics.py",54,54
"SqlMetric","superset/migrations/versions/2016-06-07_12-33_d8bc074f7aad_add_new_field_is_restricted_to_.py",47,47
"SqlMetric","superset/migrations/versions/2022-04-01_14-38_a9422eeaae74_new_dataset_models_take_2.py",157,157
"Table","superset/migrations/versions/2018-06-13_10-20_4451805bbaa1_remove_double_percents.py",56,56
"Table","tests/example_data/data_loading/data_definitions/types.py",41,41
"Table","superset/sql/parse.py",285,285
